,count,unique,top,freq
AIRLINE,5819079,14,WN,1261855
TAIL_NUMBER,5804358,4897,N480HA,3768
ORIGIN_AIRPORT,5819079,930,ATL,346836
DESTINATION_AIRPORT,5819079,930,ATL,346904
CANCELLATION_REASON,89884,4,B,48851
