,count,unique,top,freq
IATA_CODE,322,322,IAD,1
AIRPORT,322,322,Redmond Municipal Airport (Roberts Field),1
CITY,322,308,Jackson,2
STATE,322,54,TX,24
COUNTRY,322,1,USA,322
