,count,mean,std,min,25%,50%,75%,max
LATITUDE,319.0,38.981243918495295,8.616735581018043,13.48345,33.65204,39.29761,43.154675,71.28545
LONGITUDE,319.0,-98.37896445141064,21.52349204649809,-176.64603,-110.839385,-93.40307,-82.722995,-64.79856
